,Station,Date,WeatherType
26318,LAX,20160121,Dry Tropical
26321,LAX,20160124,Moist Tropical
26322,LAX,20160125,Dry Tropical
26323,LAX,20160126,Dry Tropical
26324,LAX,20160127,Dry Tropical
26326,LAX,20160129,Moist Tropical
26327,LAX,20160130,Moist Tropical
26332,LAX,20160204,Dry Tropical
26333,LAX,20160205,Dry Tropical+
26334,LAX,20160206,Dry Tropical+
26335,LAX,20160207,Dry Tropical+
26336,LAX,20160208,Dry Tropical++
26337,LAX,20160209,Dry Tropical++
26338,LAX,20160210,Dry Tropical+
26339,LAX,20160211,Dry Tropical+
26340,LAX,20160212,Dry Tropical
26343,LAX,20160215,Dry Tropical+
26344,LAX,20160216,Dry Tropical++
26345,LAX,20160217,Moist Tropical
26346,LAX,20160218,Moist Tropical
26349,LAX,20160221,Moist Tropical
26350,LAX,20160222,Moist Tropical
26351,LAX,20160223,Dry Tropical+
26352,LAX,20160224,Dry Tropical+
26353,LAX,20160225,Dry Tropical
26354,LAX,20160226,Moist Tropical
26355,LAX,20160227,Moist Tropical
26356,LAX,20160228,Moist Tropical
26358,LAX,20160301,Moist Tropical
26361,LAX,20160304,Moist Tropical
26363,LAX,20160306,Moist Tropical
26366,LAX,20160309,Moist Tropical
26367,LAX,20160310,Moist Tropical
26372,LAX,20160315,Moist Tropical
26373,LAX,20160316,Moist Tropical
26374,LAX,20160317,Moist Tropical
26375,LAX,20160318,Moist Tropical
26376,LAX,20160319,Moist Tropical
26378,LAX,20160321,Moist Tropical
26379,LAX,20160322,Moist Tropical
26380,LAX,20160323,Dry Tropical
26382,LAX,20160325,Moist Tropical
26383,LAX,20160326,Moist Tropical
26384,LAX,20160327,Moist Tropical
26398,LAX,20160410,Moist Tropical
26403,LAX,20160415,Dry Tropical
26405,LAX,20160417,Dry Tropical
26406,LAX,20160418,Dry Tropical
26407,LAX,20160419,Dry Tropical
26409,LAX,20160421,Moist Tropical
26410,LAX,20160422,Moist Tropical
26469,LAX,20160620,Dry Tropical++
26470,LAX,20160621,Moist Tropical
26472,LAX,20160623,Moist Tropical
26474,LAX,20160625,Moist Tropical
26475,LAX,20160626,Moist Tropical
26476,LAX,20160627,Moist Tropical
26478,LAX,20160629,Moist Tropical
26479,LAX,20160630,Moist Tropical
26500,LAX,20160721,Dry Tropical
26501,LAX,20160722,Dry Tropical
26502,LAX,20160723,Moist Tropical+
26503,LAX,20160724,Moist Tropical
26504,LAX,20160725,Moist Tropical
26505,LAX,20160726,Moist Tropical
26506,LAX,20160727,Moist Tropical
26507,LAX,20160728,Moist Tropical
26508,LAX,20160729,Moist Tropical
26509,LAX,20160730,Moist Tropical
26510,LAX,20160731,Moist Tropical
26511,LAX,20160801,Moist Tropical
26514,LAX,20160804,Moist Tropical
26515,LAX,20160805,Moist Tropical
26524,LAX,20160814,Moist Tropical
26541,LAX,20160831,Moist Tropical
26561,LAX,20160920,Dry Tropical+
26562,LAX,20160921,Moist Tropical
26569,LAX,20160928,Dry Tropical+
26570,LAX,20160929,Moist Tropical
26572,LAX,20161001,Moist Tropical
26578,LAX,20161007,Dry Tropical
26579,LAX,20161008,Moist Tropical
26580,LAX,20161009,Dry Tropical
26581,LAX,20161010,Moist Tropical
26590,LAX,20161019,Dry Tropical
26598,LAX,20161027,Moist Tropical
26605,LAX,20161103,Dry Tropical
26606,LAX,20161104,Moist Tropical
26610,LAX,20161108,Moist Tropical
26611,LAX,20161109,Dry Tropical++
26612,LAX,20161110,Dry Tropical++
26613,LAX,20161111,Dry Tropical+
26614,LAX,20161112,Dry Tropical
26615,LAX,20161113,Dry Tropical+
26616,LAX,20161114,Dry Tropical
26619,LAX,20161117,Dry Tropical
26620,LAX,20161118,Dry Tropical
26626,LAX,20161124,Dry Tropical
26627,LAX,20161125,Dry Tropical
26635,LAX,20161203,Dry Tropical
26651,LAX,20161219,Dry Tropical
26652,LAX,20161220,Dry Tropical+
26659,LAX,20161227,Dry Tropical
26660,LAX,20161228,Dry Tropical
26661,LAX,20161229,Dry Tropical
26670,LAX,20170107,Moist Tropical
26671,LAX,20170108,Moist Tropical
26692,LAX,20170129,Dry Tropical
26693,LAX,20170130,Dry Tropical
26702,LAX,20170208,Moist Tropical
26706,LAX,20170212,Moist Tropical
26707,LAX,20170213,Moist Tropical
26708,LAX,20170214,Moist Tropical
26709,LAX,20170215,Moist Tropical
26725,LAX,20170303,Dry Tropical
26731,LAX,20170309,Moist Tropical
26732,LAX,20170310,Moist Tropical
26733,LAX,20170311,Moist Tropical
26737,LAX,20170315,Moist Tropical
26738,LAX,20170316,Moist Tropical
26742,LAX,20170320,Moist Tropical
26751,LAX,20170329,Moist Tropical
26752,LAX,20170330,Moist Tropical
26774,LAX,20170421,Moist Tropical
26775,LAX,20170422,Moist Tropical
26776,LAX,20170423,Moist Tropical
26778,LAX,20170425,Moist Tropical
26779,LAX,20170426,Moist Tropical
26780,LAX,20170427,Moist Tropical
26786,LAX,20170503,Moist Tropical
26804,LAX,20170521,Moist Tropical
26830,LAX,20170616,Moist Tropical
26833,LAX,20170619,Moist Tropical
26839,LAX,20170625,Moist Tropical
26840,LAX,20170626,Dry Tropical
26841,LAX,20170627,Moist Tropical
26851,LAX,20170707,Moist Tropical
26852,LAX,20170708,Dry Tropical+
26853,LAX,20170709,Moist Tropical
26854,LAX,20170710,Moist Tropical
26855,LAX,20170711,Moist Tropical
26860,LAX,20170716,Moist Tropical
26861,LAX,20170717,Moist Tropical
26862,LAX,20170718,Moist Tropical
26863,LAX,20170719,Moist Tropical
26864,LAX,20170720,Moist Tropical
26865,LAX,20170721,Moist Tropical
26866,LAX,20170722,Moist Tropical
26867,LAX,20170723,Moist Tropical
26868,LAX,20170724,Moist Tropical
26871,LAX,20170727,Moist Tropical
26873,LAX,20170729,Moist Tropical
26876,LAX,20170801,Moist Tropical
26877,LAX,20170802,Moist Tropical
26878,LAX,20170803,Moist Tropical
26879,LAX,20170804,Moist Tropical
26880,LAX,20170805,Moist Tropical
26881,LAX,20170806,Moist Tropical
26883,LAX,20170808,Moist Tropical
26904,LAX,20170829,Moist Tropical
26905,LAX,20170830,Moist Tropical
26906,LAX,20170831,Moist Tropical++
26907,LAX,20170901,Moist Tropical+
26908,LAX,20170902,Dry Tropical+
26909,LAX,20170903,Moist Tropical++
26910,LAX,20170904,Moist Tropical
26911,LAX,20170905,Moist Tropical
26912,LAX,20170906,Moist Tropical
26913,LAX,20170907,Moist Tropical
26915,LAX,20170909,Moist Tropical
26917,LAX,20170911,Moist Tropical
26937,LAX,20171001,Moist Tropical
26938,LAX,20171002,Moist Tropical
26942,LAX,20171006,Moist Tropical
26943,LAX,20171007,Moist Tropical
26944,LAX,20171008,Moist Tropical
26945,LAX,20171009,Moist Tropical
26946,LAX,20171010,Moist Tropical
26952,LAX,20171016,Dry Tropical+
26953,LAX,20171017,Moist Tropical+
26954,LAX,20171018,Moist Tropical
26958,LAX,20171022,Dry Tropical
26962,LAX,20171026,Dry Tropical+
26963,LAX,20171027,Moist Tropical
26968,LAX,20171101,Moist Tropical
26970,LAX,20171103,Moist Tropical
26971,LAX,20171104,Moist Tropical
26972,LAX,20171105,Moist Tropical
26974,LAX,20171107,Moist Tropical
26975,LAX,20171108,Moist Tropical
26976,LAX,20171109,Moist Tropical
26977,LAX,20171110,Moist Tropical
26981,LAX,20171114,Moist Tropical
26982,LAX,20171115,Moist Tropical
26983,LAX,20171116,Moist Tropical
26984,LAX,20171117,Moist Tropical
26986,LAX,20171119,Dry Tropical
26988,LAX,20171121,Moist Tropical
26989,LAX,20171122,Dry Tropical++
26990,LAX,20171123,Moist Tropical++
26991,LAX,20171124,Moist Tropical
26992,LAX,20171125,Moist Tropical
26998,LAX,20171201,Moist Tropical
26999,LAX,20171202,Moist Tropical
27000,LAX,20171203,Moist Tropical
27002,LAX,20171205,Dry Tropical+
27003,LAX,20171206,Dry Tropical
27004,LAX,20171207,Dry Tropical+
27006,LAX,20171209,Dry Tropical++
27007,LAX,20171210,Dry Tropical++
27008,LAX,20171211,Dry Tropical++
27010,LAX,20171213,Dry Tropical+
27011,LAX,20171214,Moist Tropical
27012,LAX,20171215,Dry Tropical+
