Station,Date,WeatherType
VNY,19420101,80
VNY,19420102,80
VNY,19420103,80
VNY,19420104,80
VNY,19420105,80
VNY,19420106,80
VNY,19420107,80
VNY,19420108,80
VNY,19420109,80
VNY,19420110,80
VNY,19420111,80
VNY,19420112,80
VNY,19420113,80
VNY,19420114,80
VNY,19420115,80
VNY,19420116,80
VNY,19420117,80
VNY,19420118,80
VNY,19420119,80
VNY,19420120,80
VNY,19420121,80
VNY,19420122,80
VNY,19420123,80
VNY,19420124,80
VNY,19420125,80
VNY,19420126,80
VNY,19420127,80
VNY,19420128,80
VNY,19420129,80
VNY,19420130,80
VNY,19420131,80
VNY,19420201,80
VNY,19420202,80
VNY,19420203,80
VNY,19420204,80
VNY,19420205,80
VNY,19420206,80
VNY,19420207,80
VNY,19420208,80
VNY,19420209,80
VNY,19420210,80
VNY,19420211,80
VNY,19420212,80
VNY,19420213,80
VNY,19420214,80
VNY,19420215,80
VNY,19420216,80
VNY,19420217,80
VNY,19420218,80
VNY,19420219,80
VNY,19420220,80
VNY,19420221,80
VNY,19420222,80
VNY,19420223,80
VNY,19420224,80
VNY,19420225,80
VNY,19420226,80
VNY,19420227,80
VNY,19420228,80
VNY,19420301,80
VNY,19420302,80
VNY,19420303,80
VNY,19420304,80
VNY,19420305,80
VNY,19420306,80
VNY,19420307,80
VNY,19420308,80
VNY,19420309,80
VNY,19420310,80
VNY,19420311,80
VNY,19420312,80
VNY,19420313,80
VNY,19420314,80
VNY,19420315,80
VNY,19420316,80
VNY,19420317,80
VNY,19420318,80
VNY,19420319,80
VNY,19420320,80
VNY,19420321,80
VNY,19420322,80
VNY,19420323,80
VNY,19420324,80
VNY,19420325,80
VNY,19420326,80
VNY,19420327,80
VNY,19420328,80
VNY,19420329,80
VNY,19420330,80
VNY,19420331,80
VNY,19420401,80
VNY,19420402,80
VNY,19420403,80
VNY,19420404,80
VNY,19420405,80
VNY,19420406,80
VNY,19420407,80
VNY,19420408,80
VNY,19420409,80
VNY,19420410,80
VNY,19420411,80
VNY,19420412,80
VNY,19420413,80
VNY,19420414,80
VNY,19420415,80
VNY,19420416,80
VNY,19420417,80
VNY,19420418,80
VNY,19420419,80
VNY,19420420,80
VNY,19420421,80
VNY,19420422,80
VNY,19420423,80
VNY,19420424,80
VNY,19420425,80
VNY,19420426,80
VNY,19420427,80
VNY,19420428,80
VNY,19420429,80
VNY,19420430,80
VNY,19420501,80
VNY,19420502,80
VNY,19420503,80
VNY,19420504,80
VNY,19420505,80
VNY,19420506,80
VNY,19420507,80
VNY,19420508,80
VNY,19420509,80
VNY,19420510,80
VNY,19420511,80
VNY,19420512,80
VNY,19420513,80
VNY,19420514,80
VNY,19420515,80
VNY,19420516,80
VNY,19420517,80
VNY,19420518,80
VNY,19420519,80
VNY,19420520,80
VNY,19420521,80
VNY,19420522,80
VNY,19420523,80
VNY,19420524,80
VNY,19420525,80
VNY,19420526,80
VNY,19420527,80
VNY,19420528,80
VNY,19420529,80
VNY,19420530,80
VNY,19420531,80
VNY,19420601,80
VNY,19420602,80
VNY,19420603,80
VNY,19420604,80
VNY,19420605,80
VNY,19420606,80
VNY,19420607,80
VNY,19420608,80
VNY,19420609,80
VNY,19420610,80
VNY,19420611,80
VNY,19420612,80
VNY,19420613,80
VNY,19420614,80
VNY,19420615,80
VNY,19420616,80
VNY,19420617,80
VNY,19420618,80
VNY,19420619,80
VNY,19420620,80
VNY,19420621,80
VNY,19420622,80
VNY,19420623,80
VNY,19420624,80
