Census_Tract_ID,Geographic Identifier,Area Name,Qualifying Name,Area (Land),Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over
CT_ID_TXT,Geo_GEOID,Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,SE_A01001_001,SE_A01001_002,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
06037101110,14000US06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",1142401,0,3879,131,630,205,38,3.38,12.81,16.24,5.28,0.98
06037101122,14000US06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",2644045,0,4247,131,485,278,160,3.08,16.79,11.42,6.55,3.77
06037101220,14000US06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",698886,0,3583,132,320,147,32,3.68,16.05,8.93,4.1,0.89
06037101221,14000US06037101221,Census Tract 1012.21,"Census Tract 1012.21, Los Angeles County, California",354178,0,3723,134,298,106,179,3.6,14.93,8,2.85,4.81
06037101222,14000US06037101222,Census Tract 1012.22,"Census Tract 1012.22, Los Angeles County, California",296512,0,2690,56,230,115,41,2.08,11.41,8.55,4.28,1.52
06037101300,14000US06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",2580478,0,4068,126,658,228,207,3.1,12.76,16.18,5.6,5.09
06037101400,14000US06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",6310056,0,3372,240,397,217,44,7.12,17.29,11.77,6.44,1.3
06037102103,14000US06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",1186484,0,1767,178,113,98,13,10.07,14.43,6.4,5.55,0.74
06037102104,14000US06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",1658552,0,4003,208,474,254,27,5.2,15.34,11.84,6.35,0.67
06037102105,14000US06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",492761,0,1674,164,125,43,30,9.8,18.88,7.47,2.57,1.79
