"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","% Total Population: Under 5 Years","% Total Population: 5 to 9 Years","% Total Population: 10 to 14 Years","% Total Population: 15 to 17 Years","% Total Population: 18 to 24 Years","% Total Population: 25 to 34 Years","% Total Population: 35 to 44 Years","% Total Population: 45 to 54 Years","% Total Population: 55 to 64 Years","% Total Population: 65 to 74 Years","% Total Population: 75 to 84 Years","% Total Population: 85 Years and Over"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"ACSSF","ca","140","00","0004200",,,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101110","Census Tract 1011.10",,,"Census Tract 1011.10, Los Angeles County, California","06037101110","1142401","0",,,,,,,,3879,131,96,178,172,235,557,554,586,497,630,205,38,3.38,2.47,4.59,4.43,6.06,14.36,14.28,15.11,12.81,16.24,5.28,0.98
"ACSSF","ca","140","00","0004201",,,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101122","Census Tract 1011.22",,,"Census Tract 1011.22, Los Angeles County, California","06037101122","2644045","0",,,,,,,,4247,131,217,247,91,415,313,421,776,713,485,278,160,3.08,5.11,5.82,2.14,9.77,7.37,9.91,18.27,16.79,11.42,6.55,3.77
"ACSSF","ca","140","00","0004202",,,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101220","Census Tract 1012.20",,,"Census Tract 1012.20, Los Angeles County, California","06037101220","698886","0",,,,,,,,3583,132,196,245,72,294,512,437,621,575,320,147,32,3.68,5.47,6.84,2.01,8.21,14.29,12.2,17.33,16.05,8.93,4.1,0.89
"ACSSF","ca","140","00","0004203",,,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101221","Census Tract 1012.21",,,"Census Tract 1012.21, Los Angeles County, California","06037101221","354178","0",,,,,,,,3723,134,146,207,158,448,425,659,407,556,298,106,179,3.6,3.92,5.56,4.24,12.03,11.42,17.7,10.93,14.93,8,2.85,4.81
"ACSSF","ca","140","00","0004204",,,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101222","Census Tract 1012.22",,,"Census Tract 1012.22, Los Angeles County, California","06037101222","296512","0",,,,,,,,2690,56,276,166,19,184,404,397,495,307,230,115,41,2.08,10.26,6.17,0.71,6.84,15.02,14.76,18.4,11.41,8.55,4.28,1.52
"ACSSF","ca","140","00","0004205",,,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101300","Census Tract 1013",,,"Census Tract 1013, Los Angeles County, California","06037101300","2580478","0",,,,,,,,4068,126,302,175,113,75,467,741,457,519,658,228,207,3.1,7.42,4.3,2.78,1.84,11.48,18.22,11.23,12.76,16.18,5.6,5.09
"ACSSF","ca","140","00","0004206",,,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101400","Census Tract 1014",,,"Census Tract 1014, Los Angeles County, California","06037101400","6310056","0",,,,,,,,3372,240,132,59,97,423,311,328,541,583,397,217,44,7.12,3.91,1.75,2.88,12.54,9.22,9.73,16.04,17.29,11.77,6.44,1.3
"ACSSF","ca","140","00","0004207",,,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102103","Census Tract 1021.03",,,"Census Tract 1021.03, Los Angeles County, California","06037102103","1186484","0",,,,,,,,1767,178,147,89,53,76,262,265,218,255,113,98,13,10.07,8.32,5.04,3,4.3,14.83,15,12.34,14.43,6.4,5.55,0.74
"ACSSF","ca","140","00","0004208",,,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102104","Census Tract 1021.04",,,"Census Tract 1021.04, Los Angeles County, California","06037102104","1658552","0",,,,,,,,4003,208,163,227,163,445,350,274,804,614,474,254,27,5.2,4.07,5.67,4.07,11.12,8.74,6.84,20.08,15.34,11.84,6.35,0.67
"ACSSF","ca","140","00","0004209",,,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102105","Census Tract 1021.05",,,"Census Tract 1021.05, Los Angeles County, California","06037102105","492761","0",,,,,,,,1674,164,67,84,38,79,270,308,150,316,125,43,30,9.8,4,5.02,2.27,4.72,16.13,18.4,8.96,18.88,7.47,2.57,1.79
"ACSSF","ca","140","00","0004210",,,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102107","Census Tract 1021.07",,,"Census Tract 1021.07, Los Angeles County, California","06037102107","12908558","13753",,,,,,,,3920,87,176,211,125,282,695,393,406,794,484,96,171,2.22,4.49,5.38,3.19,7.19,17.73,10.03,10.36,20.26,12.35,2.45,4.36
"ACSSF","ca","140","00","0004211",,,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103101","Census Tract 1031.01",,,"Census Tract 1031.01, Los Angeles County, California","06037103101","2029806","0",,,,,,,,2481,165,118,50,63,164,333,398,232,551,270,119,18,6.65,4.76,2.02,2.54,6.61,13.42,16.04,9.35,22.21,10.88,4.8,0.73
"ACSSF","ca","140","00","0004212",,,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103102","Census Tract 1031.02",,,"Census Tract 1031.02, Los Angeles County, California","06037103102","1241029","0",,,,,,,,4692,154,175,238,167,357,473,845,777,744,381,286,95,3.28,3.73,5.07,3.56,7.61,10.08,18.01,16.56,15.86,8.12,6.1,2.02
"ACSSF","ca","140","00","0004213",,,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103201","Census Tract 1032.01",,,"Census Tract 1032.01, Los Angeles County, California","06037103201","1954789","0",,,,,,,,4179,167,164,203,129,341,578,564,609,691,476,199,58,4,3.92,4.86,3.09,8.16,13.83,13.5,14.57,16.54,11.39,4.76,1.39
