X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.356485426544,34.0910515568021,1865,Current Services Locator,,Public Safety,Fire Stations,,Los Angeles County Fire Department,Los Angeles County Fire Department - Station 8,7643 Santa Monica Blvd.,,West Hollywood,CA,"Monday through Sunday, 24 hours per day.",(323) 654-5445,www.fire.lacounty.gov,,,2022,"The Los Angeles County Fire Department provides Emergency Medical Services (EMS), fire and rescue services and safe haven services for unincorporated Los Angeles County and for contract cities.",90046,http://egis3.lacounty.gov/lms/?p=2022,publish,34.09105159,-118.35648537,,2018/05/10 09:08:26+00,,6453736.89358689,1855707.20618489
-117.759551126972,34.0676727273807,2093,Current Services Locator,,Public Safety,Fire Stations,,Los Angeles County Fire Department,Los Angeles County Fire Department -  Station 182,1059 N. White Ave.,,Pomona,CA,"Monday through Sunday, 24 hours per day. ",(909) 620-2202,www.fire.lacounty.gov,,,2237,"The Battalion provides fire and rescue services and safe haven services for unincorporated Los Angeles County and for cities in the County which contract with it, including forest areas.",91768,http://egis3.lacounty.gov/lms/?p=2237,publish,34.06767276,-117.75955107,,2017/03/24 15:19:49+00,,6634491.72827072,1847094.91960372
-117.941059526795,34.0667074271992,2098,211,,Public Safety,Fire Stations,,City of West Covina,West Covina Fire Station #1,819 S. Sunset Ave.,,West Covina,CA,24 hours a day,Service/Intake and Administration (626) 939-8824,http://www.westcovina.org/cityhall/fire/operations/station1.asp,,,2258,The department provides fire and rescue services for people of all ages in West Covina.  Most services are restricted to the city of West Covina.,91790,http://egis3.lacounty.gov/lms/?p=2258,publish,34.06670746,-117.94105947,,2013/05/29 18:42:51+00,,6579521.04326481,1846661.76003698
-117.893141867255,34.0647987975981,2104,211,,Public Safety,Fire Stations,,City of West Covina,West Covina Fire Station #2,2441 E. Cortez Street,,West Covina,CA,24 hours a day,Service/Intake and Administration (626) 939-8824,http://www.westcovina.org/cityhall/fire/operations/station2.asp,,,2267,The department provides fire and rescue services for people of all ages in West Covina.  Most services are restricted to the city of West Covina.,91791,http://egis3.lacounty.gov/lms/?p=2267,publish,34.06479883,-117.89314181,,2013/05/29 18:43:01+00,,6594034.10839872,1845979.1429639
-117.911708117261,34.0430897471691,2113,211,,Public Safety,Fire Stations,,City of West Covina,West Covina Fire Station #4,1815 S. Azusa Ave.,,West Covina,CA,24 hours a day,Service/Intake and Administration (626) 939-8824,http://www.westcovina.org/cityhall/fire/operations/station4.asp,,,2287,"The department provides fire and rescue services for people of all ages in West Covina.  Most services are restricted to the city of West Covina.

Entrance is on Fairgrove Ave.",91792,http://egis3.lacounty.gov/lms/?p=2287,publish,34.04308978,-117.91170806,,2013/05/29 18:42:59+00,,6588417.95230822,1838073.34217447
-117.890526706658,34.0198122874406,2133,211,,Public Safety,Fire Stations,,City of West Covina,West Covina Fire Station #5,2650 E. Shadow Oak Dr.,,West Covina,CA,24 hours a day,Service/Intake and Administration (626) 939-8824,http://www.westcovina.org/cityhall/fire/operations/station5.asp,,,2367,The department provides fire and rescue services for people of all ages in West Covina.  Most services are restricted to the city of West Covina.,91792,http://egis3.lacounty.gov/lms/?p=2367,publish,34.01981232,-117.89052665,,2013/05/29 18:43:03+00,,6594843.98407555,1829608.53069206
-117.936167176576,34.0831168266641,2151,211,,Public Safety,Fire Stations,,City of West Covina,West Covina Fire Station #3,1433 W. Puente Ave.,,West Covina,CA,24 hours a day,Service/Intake and Administration (626) 939-8824,http://www.westcovina.org/cityhall/fire/operations/station3.asp,,,2410,The department provides fire and rescue services for people of all ages in West Covina.  Most services are restricted to the city of West Covina.,91790,http://egis3.lacounty.gov/lms/?p=2410,publish,34.08311686,-117.93616712,,2013/05/29 18:42:57+00,,6580998.94647697,1852634.35734373
-118.058441056567,34.1615879667393,2728,211,,Public Safety,Fire Stations,,NULL,City Of Sierra Madre Fire Department,242 W. Sierra Madre Blvd.,,Sierra Madre,CA,,"Fire Prevention Service/Intake (626) 355-7135, 24 hour dispatch Emergency (626) 355-1414, Fire Prevention Service/Intake and Administration (626) 355-3611",,,,2943,The department provides fire and emergency medical services for the city of Sierra Madre from one fire station.,91024,http://egis3.lacounty.gov/lms/?p=2943,publish,34.161588,-118.058441,,2013/06/01 11:50:56+00,,6543990.9745613,1881190.45869598
-118.501028956094,34.2189865866769,3380,Current Services Locator,,Public Safety,Fire Stations,,LA County,Station 114 - Balboa Place - Air Operations,8060 Balboa Place,,Van Nuys,CA,,"Routine Matters Service/Intake (213) 485-5971, Dispatch - 24 hours - English/Spanish Service/Intake (213) 485-618",http://www.lafd.org,,,4183,The Department Provides Fire And Rescue Services  For People Of All Ages In Los Angeles.,91406,http://egis3.lacounty.gov/lms/?p=4183,publish,34.21898662,-118.5010289,,2010/11/01 19:50:56+00,,6410205.67946839,1902451.19963898
-118.252652556273,34.0585559366581,3381,Current Services Locator,,Public Safety,Fire Stations,,LA County,La City Fire Station No. 3 - N. Fremont Ave.,108 N. Fremont Ave.,,Los Angeles,CA,Window Service Hours,,http://www.lafd.org,,,4184,The Department Provides Fire And Rescue Services  For People Of All Ages In Los Angeles.  Most Services Are Restricted To The City Of Los Angeles.,90012,http://egis3.lacounty.gov/lms/?p=4184,publish,34.05855597,-118.2526525,,2010/11/01 19:50:56+00,,6485144.67263472,1843786.21198231
