Station,Date,WeatherType
LAX,19440101,80
LAX,19440102,50
LAX,19440103,50
LAX,19440104,50
LAX,19440105,50
LAX,19440106,40
LAX,19440107,10
LAX,19440108,10
LAX,19440109,10
LAX,19440110,50
LAX,19440111,10
LAX,19440112,30
LAX,19440113,30
LAX,19440114,30
LAX,19440115,40
LAX,19440116,31
LAX,19440117,61
LAX,19440118,32
LAX,19440119,33
LAX,19440120,62
LAX,19440121,60
LAX,19440122,40
LAX,19440123,50
LAX,19440124,50
LAX,19440125,50
LAX,19440126,50
LAX,19440127,50
LAX,19440128,10
LAX,19440129,10
LAX,19440130,40
LAX,19440131,40
LAX,19440201,40
LAX,19440202,10
LAX,19440203,50
LAX,19440204,40
LAX,19440205,30
LAX,19440206,60
LAX,19440207,40
LAX,19440208,40
LAX,19440209,10
LAX,19440210,10
LAX,19440211,70
LAX,19440212,10
LAX,19440213,10
LAX,19440214,70
LAX,19440215,10
LAX,19440216,10
LAX,19440217,50
LAX,19440218,10
LAX,19440219,50
LAX,19440220,50
LAX,19440221,50
LAX,19440222,50
LAX,19440223,50
LAX,19440224,10
LAX,19440225,50
LAX,19440226,50
LAX,19440227,50
LAX,19440228,50
LAX,19440229,50
LAX,19440301,50
LAX,19440302,50
LAX,19440303,50
LAX,19440304,50
LAX,19440305,10
LAX,19440306,10
LAX,19440307,30
LAX,19440308,70
LAX,19440309,32
LAX,19440310,30
LAX,19440311,40
LAX,19440312,40
LAX,19440313,50
LAX,19440314,70
LAX,19440315,20
LAX,19440316,10
LAX,19440317,30
LAX,19440318,40
LAX,19440319,40
LAX,19440320,30
LAX,19440321,30
LAX,19440322,10
LAX,19440323,70
LAX,19440324,73
LAX,19440325,60
LAX,19440326,10
LAX,19440327,70
LAX,19440328,31
LAX,19440329,30
LAX,19440330,30
LAX,19440331,60
LAX,19440401,40
LAX,19440402,40
LAX,19440403,40
LAX,19440404,10
LAX,19440405,10
LAX,19440406,10
LAX,19440407,10
LAX,19440408,70
LAX,19440409,10
LAX,19440410,10
LAX,19440411,40
LAX,19440412,40
LAX,19440413,50
LAX,19440414,10
LAX,19440415,40
LAX,19440416,70
LAX,19440417,70
LAX,19440418,30
LAX,19440419,40
LAX,19440420,10
LAX,19440421,70
LAX,19440422,10
LAX,19440423,10
LAX,19440424,10
LAX,19440425,10
LAX,19440426,10
LAX,19440427,70
LAX,19440428,50
LAX,19440429,10
LAX,19440430,50
LAX,19440501,20
LAX,19440502,50
LAX,19440503,20
LAX,19440504,71
LAX,19440505,70
LAX,19440506,10
LAX,19440507,10
LAX,19440508,10
LAX,19440509,20
LAX,19440510,50
LAX,19440511,10
LAX,19440512,10
LAX,19440513,10
LAX,19440514,10
LAX,19440515,40
LAX,19440516,10
LAX,19440517,10
LAX,19440518,10
LAX,19440519,10
LAX,19440520,10
LAX,19440521,40
LAX,19440522,40
LAX,19440523,10
LAX,19440524,10
LAX,19440525,10
LAX,19440526,10
LAX,19440527,40
LAX,19440528,40
LAX,19440529,40
LAX,19440530,40
LAX,19440531,40
LAX,19440601,50
LAX,19440602,50
LAX,19440603,10
LAX,19440604,30
LAX,19440605,10
LAX,19440606,10
LAX,19440607,10
LAX,19440608,50
LAX,19440609,10
LAX,19440610,10
LAX,19440611,10
LAX,19440612,40
LAX,19440613,40
LAX,19440614,20
LAX,19440615,20
LAX,19440616,20
LAX,19440617,20
LAX,19440618,10
LAX,19440619,20
LAX,19440620,20
LAX,19440621,20
LAX,19440622,20
LAX,19440623,20
LAX,19440624,20
LAX,19440625,20
LAX,19440626,10
LAX,19440627,20
LAX,19440628,50
LAX,19440629,50
LAX,19440630,10
LAX,19440701,20
LAX,19440702,20
LAX,19440703,20
LAX,19440704,20
LAX,19440705,20
LAX,19440706,20
LAX,19440707,20
LAX,19440708,20
LAX,19440709,20
LAX,19440710,20
LAX,19440711,20
LAX,19440712,20
LAX,19440713,20
LAX,19440714,20
LAX,19440715,20
LAX,19440716,20
LAX,19440717,20
LAX,19440718,10
LAX,19440719,10
LAX,19440720,10
LAX,19440721,20
LAX,19440722,50
LAX,19440723,20
LAX,19440724,20
LAX,19440725,20
LAX,19440726,40
LAX,19440727,50
LAX,19440728,20
LAX,19440729,10
LAX,19440730,40
LAX,19440731,40
LAX,19440801,50
LAX,19440802,10
LAX,19440803,10
LAX,19440804,40
